country,iso_code,year,literacy_rate,primary_enrolment,pct_below_3_per_day,pct_below_4_per_day,pct_below_5_per_day,pct_below_6_per_day,pct_below_7_per_day,pct_below_8_per_day,pct_below_9_per_day,pct_below_10_per_day
Mali,MLI,2018,35.0,54.9279,29.3824,47.588,57.7272,65.8497,73.9723,82.0948,86.7532,89.927
Belarus,BLR,2019,100.0,95.4393,0.0,0.0152,0.7678,1.7048,2.6417,3.5787,5.4505,7.7231
Zimbabwe,ZWE,2019,93.2275,81.6186,49.2199,62.05,68.8351,74.1091,79.383,84.6569,87.5781,89.4909
Sri Lanka,LKA,2019,92.0,94.5551,2.7055,10.0421,19.6667,29.8633,40.06,50.2567,58.2462,65.2899
Serbia,SRB,2019,99.0,98.1468,2.7243,3.926,6.2973,8.9611,11.6248,14.2885,17.4547,20.8363
Panama,PAN,2019,96.0,89.0946,2.9157,5.7859,8.5887,11.3748,14.1609,16.9469,19.9293,22.9959
Maldives,MDV,2019,98.2119,95.5599,0.0,0.0,2.1913,4.9305,7.6696,10.4087,14.8567,20.0369
Italy,ITA,2019,99.0,98.403,1.035,1.2165,1.5792,1.9872,2.3952,2.8032,3.1968,3.5843
Honduras,HND,2019,89.0,82.1849,18.779,26.8242,33.5185,39.875,46.2315,52.588,57.4343,61.6332
Indonesia,IDN,2020,96.0,97.3215,9.8478,23.6138,34.7614,45.2544,55.7474,66.2404,73.2059,78.6595
Mexico,MEX,2020,95.0,99.7091,4.256,8.6935,14.8413,21.4167,27.9921,34.5675,40.7453,46.7529
Paraguay,PRY,2020,95.0,87.9822,2.5551,5.8454,10.6819,15.905,21.1281,26.3512,31.6862,37.0692
Peru,PER,2020,94.0,99.6814,10.3082,17.459,24.5876,31.7106,38.8337,45.9567,52.1049,57.8352
Colombia,COL,2020,96.0,93.8889,13.486,20.0897,26.6069,33.1024,39.598,46.0935,51.4834,56.3996
China,CHN,2020,97.0,,0.0,1.4313,7.1294,13.8942,20.659,27.4238,34.0843,40.7
Bolivia,BOL,2020,94.0,94.9544,4.2469,6.1717,9.0724,12.2172,15.362,18.5067,22.1887,26.101
Madagascar,MDG,2021,74.6861,97.4539,69.1726,81.4232,86.3509,89.4479,92.5449,95.6418,97.078,97.8023
Romania,ROU,2021,99.0,90.4196,2.029,2.8056,3.8802,5.0292,6.1783,7.3274,8.6064,9.9412
Spain,ESP,2021,100.0,98.5837,0.6578,0.8516,1.1444,1.4619,1.7795,2.0971,2.533,3.0197
Tunisia,TUN,2021,83.6826,98.2862,0.654,2.112,5.9673,10.4221,14.8769,19.3316,25.1151,31.468
Benin,BEN,2021,43.8342,87.8653,27.2234,46.2028,57.1297,66.0436,74.9575,83.8714,88.6527,91.6629
Turkey,TUR,2021,97.0,99.7816,0.945,2.0417,4.3359,6.9295,9.5231,12.1167,15.5607,19.3692
Cote d'Ivoire,CIV,2021,50.0006,82.906,20.9026,38.243,49.3578,58.9162,68.4746,78.0331,83.4097,86.994
Burkina Faso,BFA,2021,36.9674,70.942,42.0616,60.8054,69.5929,75.8912,82.1896,88.488,91.6963,93.5802
Mongolia,MNG,2022,98.7262,92.584,0.4398,1.967,6.5906,11.9882,17.3858,22.7834,29.6613,37.1736
India,IND,2022,76.0,99.8472,5.2516,20.7855,35.2423,49.4299,63.6174,77.8049,85.3609,90.0748
Ecuador,ECU,2022,94.0,98.3236,4.4449,8.4239,13.4519,18.7422,24.0325,29.3227,34.1548,38.7904
Thailand,THA,2022,91.0999,99.6516,0.0203,0.1636,2.0959,4.4754,6.8549,9.2344,13.3573,18.2274
Bangladesh,BGD,2022,79.0,92.7138,5.9091,18.0329,30.4164,42.8648,55.3132,67.7616,75.6711,81.6354
Armenia,ARM,2022,99.825,94.64,1.8969,8.6907,18.9582,30.0943,41.2303,52.3663,62.2873,71.6876
Vietnam,VNM,2022,96.0,98.1156,1.6034,3.737,7.547,11.7761,16.0053,20.2344,25.4613,31.1158
Uzbekistan,UZB,2022,100.0,93.6318,4.3929,7.6089,12.9656,18.8576,24.7496,30.6416,37.8427,45.605
Uruguay,URY,2022,99.0,99.964,0.2402,0.6052,1.7772,3.1509,4.5247,5.8984,7.9907,10.391
World,OWID_WRL,2023,87.356,90.1424,10.5208,18.0806,24.9684,31.6881,38.4078,45.1275,49.8473,53.71
El Salvador,SLV,2023,90.0,85.679,4.6368,7.9412,12.7665,17.972,23.1775,28.3829,34.0809,39.9898
Georgia,GEO,2023,99.5555,95.1918,5.8267,12.6555,20.8602,29.4088,37.9574,46.506,54.4803,62.2084
